"technischerfeldname","sprechenderfeldname","feldbeschreibung"
"f60310Sort","F60310 Zufriedenheit mit der Situation, wenn in der Stadt Zürich mit dem Auto unterwegs","Zufriedenheit mit der Situation, wenn in der Stadt Zürich mit dem Auto unterwegs [Code. Typ: Integer]. "
"f60322Lang","F60322 Bewertung Aussage: Die Tempo30-Zonen in Wohngegenden sind zu begrüssen und sind nötig. (Fragebatterie) Lang","Bewertung Aussage: Die Tempo30-Zonen in Wohngegenden sind zu begrüssen und sind nötig. (Fragebatterie)  [Beschreibung, String]."
"f60322Sort","F60322 Bewertung Aussage: Die Tempo30-Zonen in Wohngegenden sind zu begrüssen und sind nötig. (Fragebatterie)","Bewertung Aussage: Die Tempo30-Zonen in Wohngegenden sind zu begrüssen und sind nötig. (Fragebatterie) [Code. Typ: Integer]. "
"f60324Lang","F60324 Bewertung Aussage: Es hat zu viele Fahrverbote und Einbahnstrassen. (Fragebatterie) Lang","Bewertung Aussage: Es hat zu viele Fahrverbote und Einbahnstrassen. (Fragebatterie)  [Beschreibung, String]. "
"f60324Sort","F60324 Bewertung Aussage: Es hat zu viele Fahrverbote und Einbahnstrassen. (Fragebatterie)","Bewertung Aussage: Es hat zu viele Fahrverbote und Einbahnstrassen. (Fragebatterie) [Code. Typ: Integer]. "
"f60325Lang","F60325 Bewertung Aussage: Es hat zu viele Polizeikontrollen. (Fragebatterie) Lang","Bewertung Aussage: Es hat zu viele Polizeikontrollen. (Fragebatterie)  [Beschreibung, String]. "
"f60325Sort","F60325 Bewertung Aussage: Es hat zu viele Polizeikontrollen. (Fragebatterie)","Bewertung Aussage: Es hat zu viele Polizeikontrollen. (Fragebatterie) [Code. Typ: Integer]. "
"f60327Lang","F60327 Bewertung Aussage: Wegen Verkehrsbehinderungen komme ich oft zu langsam vorwärts. (Fragebatterie) Lang","Bewertung Aussage: Wegen Verkehrsbehinderungen komme ich oft zu  [Beschreibung, String].sam vorwärts. (Fragebatterie)  [Beschreibung, String]."
"f60327Sort","F60327 Bewertung Aussage: Wegen Verkehrsbehinderungen komme ich oft zu langsam vorwärts. (Fragebatterie)","Bewertung Aussage: Wegen Verkehrsbehinderungen komme ich oft zu  [Beschreibung, String].sam vorwärts. (Fragebatterie) [Code. Typ: Integer]. "
"f60328Lang","F60328 Bewertung Aussage: Meine Fahrzeit ist gut planbar. (Fragebatterie) Lang","Bewertung Aussage: Meine Fahrzeit ist gut planbar. (Fragebatterie)  [Beschreibung, String]. "
"f60328Sort","F60328 Bewertung Aussage: Meine Fahrzeit ist gut planbar. (Fragebatterie)","Bewertung Aussage: Meine Fahrzeit ist gut planbar. (Fragebatterie) [Code. Typ: Integer]. "
"f60500Lang","F60500 Bekanntheit Programm Stadtverkehr 2025 Lang","Bekanntheit Programm Stadtverkehr 2025  [Beschreibung, String]."
"f60500Sort","F60500 Bekanntheit Programm Stadtverkehr 2025","Bekanntheit Programm Stadtverkehr 2025 [Code. Typ: Integer]."
"f72000Lang","F72000 Einstellung zur Umfrage Lang","Einstellung zur Umfrage  [Beschreibung, String]."
"f72000Sort","F72000 Einstellung zur Umfrage","Einstellung zur Umfrage [Code. Typ: Integer]."
"gewichtSort","Gewichtung","Gewichtung (Integer) [Code. Typ: Integer]."
